incident_key,customer_id,merchant_id,amount_minor,currency,payment_method,customer_segment,failure_category,previous_successes,previous_failures,contact_history,latent_recoverability,time_to_funds_hours,unrecoverable,detected_at
inc-0,cust_1044,mch_demo,28775900,INR,card,VIP,BANK_DECLINE,2,0,0,0.2728,20.43,False,2026-08-10T09:03:42.131498+00:00
inc-1,cust_1359,mch_demo,11270800,INR,card,VIP,UNKNOWN,14,3,2,0.1646,59.42,False,2026-08-08T04:03:42.131498+00:00
inc-2,cust_1052,mch_demo,50000,INR,card,VIP,CHECKOUT_ABANDONED,6,2,2,0.3371,45.85,False,2026-08-14T20:03:42.131498+00:00
inc-3,cust_1040,mch_demo,92800,INR,card,PREMIUM,AUTHENTICATION_FAILURE,39,2,1,0.4449,52.5,False,2026-08-13T23:03:42.131498+00:00
inc-4,cust_1142,mch_demo,88900,INR,wallet,PREMIUM,CARD_EXPIRED,10,2,2,0.6204,19.83,False,2026-08-13T22:03:42.131498+00:00
inc-5,cust_1083,mch_demo,824500,INR,wallet,VIP,CARD_EXPIRED,17,5,1,0.485,51.18,False,2026-08-16T19:03:42.131498+00:00
inc-6,cust_1448,mch_demo,100300,INR,card,PREMIUM,MANDATE_FAILURE,13,5,3,0.3706,32.11,True,2026-08-09T22:03:42.131498+00:00
inc-7,cust_1275,mch_demo,25759600,INR,netbanking,VIP,AUTHENTICATION_FAILURE,37,3,2,0.2286,20.48,True,2026-08-10T01:03:42.131498+00:00
inc-8,cust_1405,mch_demo,236800,INR,card,VIP,INSUFFICIENT_FUNDS,38,0,3,0.6236,31.19,False,2026-08-18T15:03:42.131498+00:00
inc-9,cust_1348,mch_demo,4984200,INR,card,STANDARD,PROCESSOR_ERROR,34,2,2,0.2883,13.36,False,2026-08-21T19:03:42.131498+00:00
inc-10,cust_1467,mch_demo,3518300,INR,card,PREMIUM,NETWORK_TIMEOUT,32,4,1,0.6845,16.09,False,2026-08-11T05:03:42.131498+00:00
inc-11,cust_1306,mch_demo,352700,INR,netbanking,VIP,PROCESSOR_ERROR,1,0,2,0.6744,64.0,False,2026-08-22T00:03:42.131498+00:00
inc-12,cust_1417,mch_demo,1257200,INR,card,STANDARD,UNKNOWN,8,5,3,0.6708,68.49,True,2026-08-11T16:03:42.131498+00:00
inc-13,cust_1475,mch_demo,381000,INR,card,STANDARD,NETWORK_TIMEOUT,19,3,2,0.4402,34.91,False,2026-08-17T12:03:42.131498+00:00
inc-14,cust_1301,mch_demo,9135800,INR,upi,STANDARD,CARD_EXPIRED,4,5,0,0.3359,21.11,False,2026-08-17T03:03:42.131498+00:00
inc-15,cust_1109,mch_demo,102600,INR,card,STANDARD,MANDATE_FAILURE,36,4,3,0.189,22.04,False,2026-08-11T16:03:42.131498+00:00
inc-16,cust_1239,mch_demo,8220400,INR,card,STANDARD,CARD_EXPIRED,6,0,3,0.5124,54.06,False,2026-08-13T06:03:42.131498+00:00
inc-17,cust_1216,mch_demo,185300,INR,upi,PREMIUM,BANK_DECLINE,29,1,0,0.2554,35.25,False,2026-08-19T01:03:42.131498+00:00
inc-18,cust_1085,mch_demo,14280100,INR,wallet,VIP,PROCESSOR_ERROR,30,1,3,0.6098,65.56,False,2026-08-16T23:03:42.131498+00:00
inc-19,cust_1146,mch_demo,385100,INR,wallet,VIP,CHECKOUT_ABANDONED,9,1,2,0.1512,20.37,False,2026-08-12T08:03:42.131498+00:00
inc-20,cust_1470,mch_demo,86700,INR,card,STANDARD,MANDATE_FAILURE,3,4,0,0.1814,62.19,False,2026-08-11T07:03:42.131498+00:00
inc-21,cust_1061,mch_demo,139100,INR,card,STANDARD,UNKNOWN,37,4,0,0.1874,46.88,False,2026-08-13T10:03:42.131498+00:00
inc-22,cust_1122,mch_demo,3201900,INR,netbanking,VIP,MANDATE_FAILURE,8,5,2,0.6641,36.18,False,2026-08-15T08:03:42.131498+00:00
inc-23,cust_1037,mch_demo,130500,INR,card,STANDARD,INSUFFICIENT_FUNDS,32,2,1,0.4021,67.6,False,2026-08-19T21:03:42.131498+00:00
inc-24,cust_1313,mch_demo,162400,INR,card,STANDARD,CARD_BLOCKED,35,2,0,0.391,67.97,False,2026-08-15T14:03:42.131498+00:00
inc-25,cust_1079,mch_demo,230000,INR,netbanking,PREMIUM,NETWORK_TIMEOUT,38,1,2,0.2135,19.44,True,2026-08-10T05:03:42.131498+00:00
inc-26,cust_1324,mch_demo,27144600,INR,wallet,PREMIUM,NETWORK_TIMEOUT,2,0,2,0.6479,56.89,False,2026-08-20T01:03:42.131498+00:00
inc-27,cust_1287,mch_demo,22158700,INR,card,STANDARD,NETWORK_TIMEOUT,4,5,1,0.2389,42.01,False,2026-08-12T22:03:42.131498+00:00
inc-28,cust_1460,mch_demo,1881800,INR,netbanking,STANDARD,CARD_BLOCKED,15,5,0,0.173,29.34,False,2026-08-21T04:03:42.131498+00:00
inc-29,cust_1442,mch_demo,12079000,INR,upi,STANDARD,CHECKOUT_ABANDONED,26,0,1,0.6856,54.61,False,2026-08-16T23:03:42.131498+00:00
inc-30,cust_1195,mch_demo,1537300,INR,card,VIP,BANK_DECLINE,14,1,3,0.2967,29.08,False,2026-08-19T17:03:42.131498+00:00
inc-31,cust_1142,mch_demo,703000,INR,card,PREMIUM,BANK_DECLINE,22,5,3,0.163,50.85,False,2026-08-15T00:03:42.131498+00:00
inc-32,cust_1019,mch_demo,12326600,INR,card,VIP,NETWORK_TIMEOUT,22,5,2,0.2482,34.8,False,2026-08-16T09:03:42.131498+00:00
inc-33,cust_1022,mch_demo,10247600,INR,card,VIP,CARD_EXPIRED,0,4,1,0.3619,30.04,False,2026-08-16T14:03:42.131498+00:00
inc-34,cust_1259,mch_demo,188300,INR,netbanking,VIP,UNKNOWN,20,3,2,0.3227,42.59,False,2026-08-15T15:03:42.131498+00:00
inc-35,cust_1315,mch_demo,457200,INR,card,PREMIUM,CHECKOUT_ABANDONED,25,4,0,0.5157,26.06,False,2026-08-18T07:03:42.131498+00:00
inc-36,cust_1261,mch_demo,428400,INR,wallet,STANDARD,MANDATE_FAILURE,5,2,2,0.4057,12.16,False,2026-08-17T11:03:42.131498+00:00
inc-37,cust_1023,mch_demo,853800,INR,upi,VIP,NETWORK_TIMEOUT,39,0,3,0.2736,33.35,False,2026-08-21T12:03:42.131498+00:00
inc-38,cust_1457,mch_demo,20753900,INR,card,VIP,CHECKOUT_ABANDONED,14,1,3,0.4219,9.31,False,2026-08-21T22:03:42.131498+00:00
inc-39,cust_1286,mch_demo,729900,INR,card,PREMIUM,CARD_EXPIRED,28,4,3,0.4011,60.82,False,2026-08-10T17:03:42.131498+00:00
inc-40,cust_1141,mch_demo,11667100,INR,card,VIP,AUTHENTICATION_FAILURE,15,2,3,0.3975,11.11,False,2026-08-08T10:03:42.131498+00:00
inc-41,cust_1041,mch_demo,1279300,INR,upi,STANDARD,BANK_DECLINE,14,3,1,0.2994,52.62,False,2026-08-10T12:03:42.131498+00:00
inc-42,cust_1199,mch_demo,136000,INR,card,STANDARD,AUTHENTICATION_FAILURE,36,3,3,0.3787,6.39,False,2026-08-13T01:03:42.131498+00:00
inc-43,cust_1275,mch_demo,2109500,INR,card,STANDARD,NETWORK_TIMEOUT,31,1,2,0.5644,34.77,False,2026-08-13T02:03:42.131498+00:00
inc-44,cust_1318,mch_demo,49900,INR,card,STANDARD,CHECKOUT_ABANDONED,25,4,0,0.5483,11.54,False,2026-08-19T07:03:42.131498+00:00
inc-45,cust_1194,mch_demo,3901300,INR,netbanking,STANDARD,CARD_BLOCKED,29,2,2,0.6268,56.24,False,2026-08-16T11:03:42.131498+00:00
inc-46,cust_1383,mch_demo,2369600,INR,card,STANDARD,CHECKOUT_ABANDONED,22,1,0,0.2887,57.56,True,2026-08-21T15:03:42.131498+00:00
inc-47,cust_1429,mch_demo,32257000,INR,card,STANDARD,INSUFFICIENT_FUNDS,15,1,3,0.5648,50.18,False,2026-08-17T18:03:42.131498+00:00
inc-48,cust_1493,mch_demo,16905700,INR,card,STANDARD,NETWORK_TIMEOUT,10,2,0,0.5718,44.19,False,2026-08-09T02:03:42.131498+00:00
inc-49,cust_1482,mch_demo,1195800,INR,card,STANDARD,UNKNOWN,4,4,1,0.5225,12.73,False,2026-08-13T13:03:42.131498+00:00
inc-50,cust_1177,mch_demo,1369600,INR,card,VIP,CARD_EXPIRED,23,0,2,0.5879,6.84,False,2026-08-21T03:03:42.131498+00:00
inc-51,cust_1456,mch_demo,3040200,INR,wallet,STANDARD,AUTHENTICATION_FAILURE,27,1,2,0.208,46.65,False,2026-08-08T11:03:42.131498+00:00
inc-52,cust_1142,mch_demo,12758500,INR,wallet,STANDARD,UNKNOWN,29,4,3,0.2976,28.2,False,2026-08-20T04:03:42.131498+00:00
inc-53,cust_1174,mch_demo,6939200,INR,netbanking,PREMIUM,MANDATE_FAILURE,35,0,1,0.25,11.65,False,2026-08-16T12:03:42.131498+00:00
inc-54,cust_1047,mch_demo,2794000,INR,netbanking,STANDARD,AUTHENTICATION_FAILURE,25,5,1,0.5052,26.21,False,2026-08-21T16:03:42.131498+00:00
inc-55,cust_1381,mch_demo,15217300,INR,card,PREMIUM,MANDATE_FAILURE,22,5,3,0.4103,23.88,False,2026-08-12T23:03:42.131498+00:00
inc-56,cust_1098,mch_demo,1023200,INR,upi,VIP,MANDATE_FAILURE,17,5,2,0.2158,70.71,False,2026-08-18T02:03:42.131498+00:00
inc-57,cust_1362,mch_demo,595000,INR,card,STANDARD,NETWORK_TIMEOUT,17,0,0,0.2751,42.52,False,2026-08-21T17:03:42.131498+00:00
inc-58,cust_1240,mch_demo,49999900,INR,wallet,VIP,AUTHENTICATION_FAILURE,21,1,0,0.2064,22.66,True,2026-08-15T23:03:42.131498+00:00
inc-59,cust_1295,mch_demo,7529000,INR,card,STANDARD,CARD_EXPIRED,9,1,2,0.6022,11.62,False,2026-08-20T11:03:42.131498+00:00
inc-60,cust_1194,mch_demo,919900,INR,wallet,VIP,UNKNOWN,19,4,3,0.4779,26.16,False,2026-08-10T21:03:42.131498+00:00
inc-61,cust_1320,mch_demo,22764500,INR,upi,PREMIUM,INSUFFICIENT_FUNDS,5,1,1,0.4853,17.47,False,2026-08-17T14:03:42.131498+00:00
inc-62,cust_1361,mch_demo,160100,INR,netbanking,VIP,UNKNOWN,4,5,1,0.4085,66.98,True,2026-08-15T21:03:42.131498+00:00
inc-63,cust_1058,mch_demo,27559200,INR,card,STANDARD,UNKNOWN,9,2,1,0.5137,10.71,False,2026-08-12T23:03:42.131498+00:00
inc-64,cust_1352,mch_demo,364800,INR,netbanking,VIP,UNKNOWN,17,4,3,0.6567,34.89,False,2026-08-12T01:03:42.131498+00:00
